epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,270.014,0.76939,0.51001,0.98889,0.99884,0.99471,0.995,0.87978,0.52422,0.3502,0.90364,0.0006965,0.0006965,0.0006965
81,273.361,0.77701,0.50629,0.99742,0.99976,1,0.995,0.86345,0.57398,0.3535,0.93025,0.00068,0.00068,0.00068
82,276.694,0.75955,0.50145,0.98229,0.99892,1,0.995,0.86705,0.55683,0.36219,0.91573,0.0006635,0.0006635,0.0006635
83,280.044,0.76842,0.49259,0.99179,0.99978,1,0.995,0.87968,0.54057,0.3481,0.90168,0.000647,0.000647,0.000647
84,283.37,0.75566,0.49691,0.98442,0.99966,1,0.995,0.86873,0.56185,0.35654,0.91444,0.0006305,0.0006305,0.0006305
85,286.699,0.73924,0.49142,0.97252,0.99877,1,0.995,0.87631,0.54742,0.35277,0.92084,0.000614,0.000614,0.000614
86,290.024,0.73624,0.48539,0.97182,0.99959,1,0.995,0.89087,0.51041,0.33435,0.89196,0.0005975,0.0005975,0.0005975
87,293.367,0.72963,0.47982,0.96702,0.99443,1,0.995,0.89538,0.4839,0.32183,0.88206,0.000581,0.000581,0.000581
88,296.711,0.73546,0.47874,0.97666,0.99883,1,0.995,0.88305,0.52799,0.34333,0.89999,0.0005645,0.0005645,0.0005645
89,300.024,0.69611,0.46882,0.96104,0.99959,1,0.995,0.89712,0.47877,0.32092,0.88442,0.000548,0.000548,0.000548
90,303.358,0.68893,0.45674,0.95523,0.99972,1,0.995,0.89289,0.47329,0.32633,0.87883,0.0005315,0.0005315,0.0005315
91,306.75,0.69888,0.45833,0.96337,0.99934,1,0.995,0.88054,0.52067,0.33605,0.90149,0.000515,0.000515,0.000515
92,310.044,0.70453,0.46435,0.96462,0.99973,1,0.995,0.89816,0.47884,0.31254,0.88013,0.0004985,0.0004985,0.0004985
93,313.361,0.7108,0.46376,0.96825,0.99968,1,0.995,0.88411,0.51058,0.3265,0.88995,0.000482,0.000482,0.000482
94,316.664,0.69145,0.45764,0.95275,0.99945,1,0.995,0.90592,0.47313,0.31369,0.87146,0.0004655,0.0004655,0.0004655
95,319.993,0.68817,0.45184,0.95247,0.9996,1,0.995,0.85826,0.60753,0.34389,0.93696,0.000449,0.000449,0.000449
96,323.289,0.70393,0.46,0.96617,0.99873,1,0.995,0.90708,0.44661,0.3074,0.8662,0.0004325,0.0004325,0.0004325
97,326.603,0.6843,0.44671,0.95838,0.99973,1,0.995,0.89658,0.46356,0.30556,0.86855,0.000416,0.000416,0.000416
98,329.891,0.6758,0.44522,0.95474,0.9998,1,0.995,0.91393,0.43195,0.29688,0.86153,0.0003995,0.0003995,0.0003995
99,333.206,0.67335,0.44345,0.94903,0.99974,1,0.995,0.92139,0.40208,0.29218,0.84825,0.000383,0.000383,0.000383
100,336.502,0.65781,0.43646,0.94729,0.99978,1,0.995,0.90522,0.43618,0.30592,0.85655,0.0003665,0.0003665,0.0003665
101,339.817,0.64698,0.42715,0.94012,0.99979,1,0.995,0.91104,0.44822,0.29336,0.87186,0.00035,0.00035,0.00035
102,343.109,0.65328,0.43715,0.94005,0.99964,1,0.995,0.91957,0.41433,0.28709,0.8568,0.0003335,0.0003335,0.0003335
103,346.413,0.64016,0.42546,0.9421,0.9998,1,0.995,0.90112,0.44896,0.29803,0.87153,0.000317,0.000317,0.000317
104,349.723,0.6459,0.43091,0.94354,0.99973,1,0.995,0.92889,0.3845,0.28234,0.84699,0.0003005,0.0003005,0.0003005
105,353.052,0.63515,0.42187,0.93384,0.99968,1,0.995,0.92038,0.42245,0.28773,0.86058,0.000284,0.000284,0.000284
106,356.348,0.62791,0.42382,0.93397,0.99978,1,0.995,0.91675,0.42059,0.28401,0.86362,0.0002675,0.0002675,0.0002675
107,359.653,0.61103,0.41691,0.92558,0.99977,1,0.995,0.93272,0.38335,0.27999,0.84339,0.000251,0.000251,0.000251
108,362.961,0.62361,0.41636,0.93242,0.99972,1,0.995,0.93371,0.37742,0.27419,0.84586,0.0002345,0.0002345,0.0002345
109,366.288,0.61615,0.42163,0.93803,0.99978,1,0.995,0.93794,0.37841,0.27689,0.84166,0.000218,0.000218,0.000218
110,369.672,0.5948,0.40142,0.91801,0.99979,1,0.995,0.9311,0.38523,0.27567,0.84263,0.0002015,0.0002015,0.0002015
111,373.581,0.50866,0.32998,0.90905,0.9998,1,0.995,0.92944,0.40345,0.27879,0.85497,0.000185,0.000185,0.000185
112,376.909,0.48007,0.31948,0.89642,0.99979,1,0.995,0.92898,0.4006,0.28064,0.85504,0.0001685,0.0001685,0.0001685
113,380.247,0.48231,0.31435,0.88822,0.9998,1,0.995,0.93355,0.38407,0.27359,0.84465,0.000152,0.000152,0.000152
114,383.541,0.44519,0.3052,0.88229,0.9998,1,0.995,0.93834,0.36802,0.26688,0.84378,0.0001355,0.0001355,0.0001355
115,386.853,0.45462,0.30538,0.88491,0.99981,1,0.995,0.94381,0.35442,0.26008,0.83605,0.000119,0.000119,0.000119
116,390.163,0.4377,0.29741,0.87221,0.99981,1,0.995,0.9383,0.36754,0.26109,0.84083,0.0001025,0.0001025,0.0001025
117,393.469,0.44944,0.30284,0.87909,0.99981,1,0.995,0.94274,0.36391,0.26227,0.83641,8.6e-05,8.6e-05,8.6e-05
118,396.767,0.43613,0.29742,0.87819,0.99981,1,0.995,0.93802,0.36063,0.25922,0.83652,6.95e-05,6.95e-05,6.95e-05
119,400.081,0.4249,0.29338,0.8716,0.99981,1,0.995,0.94161,0.361,0.25858,0.83455,5.3e-05,5.3e-05,5.3e-05
120,403.379,0.42776,0.29384,0.87193,0.99982,1,0.995,0.94105,0.356,0.25884,0.83402,3.65e-05,3.65e-05,3.65e-05
